otu_id,otu_image_url,sample_image_url
1,https://drive.google.com/file/d/1GNKBnJ4J8pyWU8MgYOM4B6_RBHhEHQAZ/view?usp=share_link,https://drive.google.com/file/d/13wDVTLLBUzXFSiyj7AryUMR-xvw2bTWj/view?usp=share_link
2,https://drive.google.com/file/d/19sVSUJWMDuV5gOqIUbzh_BzXDFH2KW7j/view?usp=share_link,https://drive.google.com/file/d/1XRuIoblQ_LZSygpsKN5oiQHgOhi21-sV/view?usp=share_link
3,https://drive.google.com/file/d/15W8AJ1_ixT7RbNK609wrynKxiOYytUqI/view?usp=share_link,https://drive.google.com/file/d/1nCqcSFHebP6gVjE4qESFeWzAoN4Hb793/view?usp=share_link
4,https://drive.google.com/file/d/1gEExpuywvfYbc5sy0F11dL-YF27uP42W/view?usp=share_link,https://drive.google.com/file/d/1suEFL0AUAQbSLn2ADAJ9JmJj0IOGagwU/view?usp=share_link
5,https://drive.google.com/file/d/1QxZZK-gNvf5FIT02iNT-iYq7caNczHLC/view?usp=share_link,https://drive.google.com/file/d/1BC35j3ZdUch3XSd2b_Gim1lHVtyHzsNK/view?usp=share_link
6,https://drive.google.com/file/d/1jd44WDsD_FhsKOuKVb0RN-Wc8TR-HBEB/view?usp=share_link,https://drive.google.com/file/d/1vfanfEIM0VvJpw8wAPWpxc09ZBElZbuT/view?usp=share_link
7,https://drive.google.com/file/d/1SQ9JC_LoWSvKAoKaFKwq5Jd3KnwHX_E8/view?usp=share_link,https://drive.google.com/file/d/1wtLhIszbkp60DrdaPmr4eWxX1uOWvdpk/view?usp=share_link
8,https://drive.google.com/file/d/1UrPB1s_sEZC-mbLu-OI36uXeW8OCE0Y3/view?usp=share_link,https://drive.google.com/file/d/1WPhFjLQNSlgaXGiS5oQceUcUAz_cnFdr/view?usp=share_link
10,https://drive.google.com/file/d/1mo42P_20NmtVo8pW6z3OOlNa3M5cnoiR/view?usp=share_link,https://drive.google.com/file/d/1Hec-TIq98W5TtV0wthLF1N7SMutibqfy/view?usp=share_link
12,https://drive.google.com/file/d/1ckabA94m-lHV2d2_aZo-w2qcZ8b099wh/view?usp=share_link,https://drive.google.com/file/d/1TzGt5h7MSO42FVn_LUmcnNPyx2NSmlfR/view?usp=share_link
13,https://drive.google.com/file/d/1H1fmV2vNfFhdOZpKWOtGScuAtmPPhfok/view?usp=share_link,https://drive.google.com/file/d/1Osa3ZWIr_sx8I7J6OXz80Fys-xYpLdd6/view?usp=share_link
14,https://drive.google.com/file/d/1e2env_NOv3qSyMVqDFlcokCa12nlp7Dl/view?usp=share_link,https://drive.google.com/file/d/1oQUNkNQcjSlH3lJQ-Y7kpkNVoojH1H9t/view?usp=share_link
15,https://drive.google.com/file/d/1xnHuLb0kQquYbedG7nZjkGPan-ogBOEl/view?usp=share_link,https://drive.google.com/file/d/1uUe6liGEaEv6V61TCas3bHkmNNgVc4uK/view?usp=share_link
16,https://drive.google.com/file/d/1M8AdYtxD-4dNxpd-3PyPc6tRV2rO9wQ7/view?usp=share_link,https://drive.google.com/file/d/1OUF1-EhZ0KZRac1Y5fOO2-JJZoQXxXYF/view?usp=share_link
17,https://drive.google.com/file/d/184R8zKvXCBLwH3cuezAtVDkQqYhNXuXW/view?usp=share_link,https://drive.google.com/file/d/1MdEO4bJyUabs3EWP58M-EnXzSRR9e6fM/view?usp=share_link
18,https://drive.google.com/file/d/1JyHLPtWs2N6SWuEDy1BWah-1I6676KCp/view?usp=share_link,https://drive.google.com/file/d/1-zD58nB2-NlLLKBoFkghO7DuUe5_wYWb/view?usp=share_link
19,https://drive.google.com/file/d/1CwPLXzWKExFBTC_xPwMQDxFq7vLuVzC1/view?usp=share_link,https://drive.google.com/file/d/1dGHMXAEyCFev8m3E6VdAVa_kn3UU2Ov2/view?usp=share_link
20,https://drive.google.com/file/d/1SV5FGCedmMWadVWfjnCGP4G2-pYaN0qn/view?usp=share_link,https://drive.google.com/file/d/1e2PkGvQkxnj3NPQj1hV1Wzyp7dt0qCJk/view?usp=share_link
21,https://drive.google.com/file/d/1chA-zUTc4Mk2XntaxlNa8lorhUMrR06Q/view?usp=share_link,https://drive.google.com/file/d/1uHrzBlHucGfg9ALYRjlabTQQgL3wlHfn/view?usp=share_link
23,https://drive.google.com/file/d/15EOeUMXvTndNFziDZdPozMji6kCcKWR8/view?usp=share_link,https://drive.google.com/file/d/17o3953YXD0U5JhrKU0xdTrQ5RueTxPxL/view?usp=share_link
24,https://drive.google.com/file/d/1WDk-c-oM2pTYqeQqGLxiD3oLHj0BUOLv/view?usp=share_link,https://drive.google.com/file/d/1nrpCx_10dHZ_0Y4bvOQJMMQvadD_bzrX/view?usp=share_link
25,https://drive.google.com/file/d/1sCdT7hMix2d-yX2exw_4KBAUNS-ScxgD/view?usp=share_link,https://drive.google.com/file/d/1azhnv74uboJQ3MlqXSRmp1ggxQQq3dHC/view?usp=share_link
26,https://drive.google.com/file/d/1H5KO3GtbzvInc_Cgtus5QKxZtGds6ZPq/view?usp=share_link,https://drive.google.com/file/d/1oyOfmfH_sG5KQvN1JQCbFhhms9Cm-Iya/view?usp=share_link
27,https://drive.google.com/file/d/1X-JJPyVNJwOOhBmWxSJz6kkeskNAxbDE/view?usp=share_link,https://drive.google.com/file/d/1L_mLn1Mmu1pAGiJSCBERVLAJhfax3yry/view?usp=share_link
28,https://drive.google.com/file/d/1zMPX_6h-nh9_QrXN9Fvoxc-vFSt9WlyQ/view?usp=share_link,https://drive.google.com/file/d/13CuXVrq3RFJfP9CKKY0FvpreHg-L-xdo/view?usp=share_link
29,https://drive.google.com/file/d/1tLZlYHWxXEippi0EGCoanftgr2Kf7SZV/view?usp=share_link,https://drive.google.com/file/d/1_Yk18tPBxsO_cRJKf5SfWVkEI_XltzT0/view?usp=share_link
30,https://drive.google.com/file/d/1tLZlYHWxXEippi0EGCoanftgr2Kf7SZV/view?usp=sharing,https://drive.google.com/file/d/1d2Gu0JxMW22kMfGwZ0GuqsY8IAbzWY5o/view?usp=share_link
31,https://drive.google.com/file/d/1TFJApL8JlOT54vnovpe1n_kBxo508FLf/view?usp=share_link,https://drive.google.com/file/d/1MoCIXZuYjZuefC8cWM0vVa_WMVy2DwVV/view?usp=share_link
32,https://drive.google.com/file/d/125pOWR2fSBxpqD3lO4fAuk7LtwFnKp8J/view?usp=sharing,https://drive.google.com/file/d/1ZMAk3lvMElPaSHQuREF1HEytlIaL1SAK/view?usp=share_link
33,https://drive.google.com/file/d/1Q1hHV804aOQb_5yriKWye_sDcH_DKq70/view?usp=share_link,https://drive.google.com/file/d/1XEXUw5AoKByqPwznq4LDjzk_EX5NnXTr/view?usp=share_link
34,https://drive.google.com/file/d/1BkKDS79lYqvX0GqwfUFWn40oAZfH2Ahk/view?usp=share_link,https://drive.google.com/file/d/1ijnlDCWQD5o2fxVGcyXFk_WSDKy6sBKa/view?usp=share_link
35,https://drive.google.com/file/d/1nEnJTfU5wYxQwSI2sm6Tm8Ig7zmZypM0/view?usp=share_link,https://drive.google.com/file/d/1b-36Nm_5zEx4pxi6NYWKaxJR1Zpl7PR8/view?usp=share_link
36,https://drive.google.com/file/d/1SyXUp96dQpnJDXCJg-n4qAg96HsOJJ-g/view?usp=share_link,https://drive.google.com/file/d/16uI99oT9MrwRmbJyvYURJouz8DSdeRoG/view?usp=share_link
37,https://drive.google.com/file/d/1vxSC2fIsenp5X4yIdNzONpML7okq-Qq6/view?usp=share_link,https://drive.google.com/file/d/15VLFTpHLsbsbmrQvBrPVo6tf2S7oInXq/view?usp=share_link
38,https://drive.google.com/file/d/1m_9md_lbMks7hmiUAI8ZTgEfTLxlY04k/view?usp=share_link,https://drive.google.com/file/d/1C3FgPzDeFNWKhSPvwlqo7gSx1hpnfczz/view?usp=share_link
39,https://drive.google.com/file/d/1M6XdTOApRdNS50TiVHcN-zls3F8YjZpE/view?usp=share_link,https://drive.google.com/file/d/1A_xuJkIXwY9DM7XEQvNd1gIDpGuqqC8z/view?usp=share_link
40,https://drive.google.com/file/d/1kumRYgQSMv3IKKKUvhsmDTq7tAG0ksBu/view?usp=share_link,https://drive.google.com/file/d/1yGmqtWA9obFVD1xecv6OW8FB8oefW7uV/view?usp=share_link
43,https://drive.google.com/file/d/1YhEEeXicgyV1NCPa5ktVnlCIxIviMH_4/view?usp=share_link,https://drive.google.com/file/d/1FHQDAE1eGMLwLc95Yk6zuL0a2JMB5jZO/view?usp=share_link
44,https://drive.google.com/file/d/17Ng6q1OX6wCreAhSKzBHQia49fqBRezf/view?usp=share_link,https://drive.google.com/file/d/1OGyKpYMx7mbcRNzvr_zPIPY2pLZhzlmG/view?usp=share_link
48,https://drive.google.com/file/d/1OBGQQOmotkE_NO4XHZlz0SDHkclJ-hHJ/view?usp=share_link,https://drive.google.com/file/d/1P7112mVGi2-XUcaeKddGiWEv_rUTGP3V/view?usp=share_link
50,https://drive.google.com/file/d/1BFDQEmhonZReQn57tevuykmyMUbsJAsh/view?usp=share_link,https://drive.google.com/file/d/1CdtOCi_7xmH7Sj2hVZH0S_o9E62H5ahp/view?usp=share_link
51,https://drive.google.com/file/d/1_pJ4dTwdfOF19WUHA_3qNhSFTim3ui_6/view?usp=share_link,https://drive.google.com/file/d/1EaNuR4-RGjH-uPtg3r5i6AJWuoTEoRhT/view?usp=share_link
52,https://drive.google.com/file/d/1bq2XxSL-u4EzvHgy7XX4lauXfReBws-L/view?usp=sharing,https://drive.google.com/file/d/1bUTijQJdDDi_Fh0vI4kHqF5CNyAZw1ol/view?usp=share_link
54,https://drive.google.com/file/d/1Y7abZtdYI8WG5E1vmabOTfG5EaEX6b0M/view?usp=sharing,https://drive.google.com/file/d/16P9R-NB5NM6r6YSh6gbNvvvya-afK6Pz/view?usp=share_link
55,https://drive.google.com/file/d/1bb50MUu1MhmSPsJD0YEuA9r2TuULfv9R/view?usp=share_link,https://drive.google.com/file/d/1fmfrZCcO6KsFsEc-AdcIrRDTlCbNAx3M/view?usp=share_link
58,https://drive.google.com/file/d/1T1xeyRcx9iV3qv51BZ5oiU2KBxkYOM_P/view?usp=share_link,https://drive.google.com/file/d/1az7MqHOoKIzomF8tRSenwbAbix4o7L3q/view?usp=share_link
59,https://drive.google.com/file/d/1nlYk--PXsqB-HMseEIfabnruNr0Mm_KE/view?usp=share_link,https://drive.google.com/file/d/1isE9itgXSMoGQcW2vhxrBAwi-3jkRW2h/view?usp=share_link
61,https://drive.google.com/file/d/1lyPtGJIVM273HTm5Nu3AmvUUrtDbzWfv/view?usp=share_link,https://drive.google.com/file/d/1V8CTBCM9f3wlBU2lYovV0hdRKfmsnHmd/view?usp=share_link
66,https://drive.google.com/file/d/1F4zLwuogs99n_VbTP7nyq0Rmh7TXO4JU/view?usp=share_link,https://drive.google.com/file/d/1cqZzWoTMBE0TkEnJ-EZ-fG93SrARQ5S0/view?usp=share_link
67,https://drive.google.com/file/d/1L0ILu5IGX5E8NWxfxTJwocyuATbLr6jQ/view?usp=share_link,https://drive.google.com/file/d/1HTe0x2VFlWVPeYy_MYAlLd0W5VluKr91/view?usp=share_link